GemeenteCode;GemeenteNaam;PartijNaam;AantalStemmen
14;Groningen;GROENLINKS;18410
14;Groningen;Partij van de Arbeid (P.v.d.A.);13598
14;Groningen;Forum voor Democratie;2201
14;Groningen;ChristenUnie;5650
14;Groningen;SP (Socialistische Partij);6747
14;Groningen;VVD;7283
14;Groningen;CDA;3398
14;Groningen;Groninger Belang;4592
14;Groningen;D66;10552
14;Groningen;PVV (Partij voor de Vrijheid);3283
14;Groningen;Partij voor het Noorden;3726
14;Groningen;Partij voor de Dieren;9051
14;Groningen;50PLUS;1162
14;Groningen;BBB;12210
14;Groningen;Belang van Nederland (BVNL);589
14;Groningen;Volt;8761
14;Groningen;Staatkundig Gereformeerde Partij (SGP);711
14;Groningen;JEZUS LEEFT;85
14;Groningen;JA21;2155
34;Almere;Forum voor Democratie;3172
34;Almere;VVD;7970
34;Almere;PVV (Partij voor de Vrijheid);6194
34;Almere;GROENLINKS;6482
34;Almere;CDA;2085
34;Almere;Partij van de Arbeid (P.v.d.A.);7089
34;Almere;ChristenUnie;2429
34;Almere;SP (Socialistische Partij);3691
34;Almere;50PLUS;2558
34;Almere;D66;5234
34;Almere;Partij voor de Dieren;4332
34;Almere;Staatkundig Gereformeerde Partij (SGP);390
34;Almere;Krachtig Flevoland;1125
34;Almere;SterkLokaalFlevoland;1840
34;Almere;JA21;3746
34;Almere;Belang van Nederland (BVNL);1100
34;Almere;BBB;9512
37;Stadskanaal;GROENLINKS;464
37;Stadskanaal;Partij van de Arbeid (P.v.d.A.);1015
37;Stadskanaal;Forum voor Democratie;505
37;Stadskanaal;ChristenUnie;1889
37;Stadskanaal;SP (Socialistische Partij);669
37;Stadskanaal;VVD;680
37;Stadskanaal;CDA;849
37;Stadskanaal;Groninger Belang;956
37;Stadskanaal;D66;270
37;Stadskanaal;PVV (Partij voor de Vrijheid);1127
37;Stadskanaal;Partij voor het Noorden;252
37;Stadskanaal;Partij voor de Dieren;286
37;Stadskanaal;50PLUS;170
37;Stadskanaal;BBB;4824
37;Stadskanaal;Belang van Nederland (BVNL);138
37;Stadskanaal;Volt;114
37;Stadskanaal;Staatkundig Gereformeerde Partij (SGP);305
37;Stadskanaal;JEZUS LEEFT;23
37;Stadskanaal;JA21;277
47;Veendam;GROENLINKS;483
47;Veendam;Partij van de Arbeid (P.v.d.A.);1322
47;Veendam;Forum voor Democratie;429
47;Veendam;ChristenUnie;414
47;Veendam;SP (Socialistische Partij);684
47;Veendam;VVD;723
47;Veendam;CDA;338
47;Veendam;Groninger Belang;1899
47;Veendam;D66;330
47;Veendam;PVV (Partij voor de Vrijheid);860
47;Veendam;Partij voor het Noorden;290
47;Veendam;Partij voor de Dieren;286
47;Veendam;50PLUS;220
47;Veendam;BBB;3411
47;Veendam;Belang van Nederland (BVNL);116
47;Veendam;Volt;145
47;Veendam;Staatkundig Gereformeerde Partij (SGP);69
47;Veendam;JEZUS LEEFT;12
47;Veendam;JA21;250
50;Zeewolde;Forum voor Democratie;440
50;Zeewolde;VVD;1218
50;Zeewolde;PVV (Partij voor de Vrijheid);593
50;Zeewolde;GROENLINKS;663
50;Zeewolde;CDA;635
50;Zeewolde;Partij van de Arbeid (P.v.d.A.);434
50;Zeewolde;ChristenUnie;1198
50;Zeewolde;SP (Socialistische Partij);331
50;Zeewolde;50PLUS;193
50;Zeewolde;D66;606
50;Zeewolde;Partij voor de Dieren;446
50;Zeewolde;Staatkundig Gereformeerde Partij (SGP);221
50;Zeewolde;Krachtig Flevoland;184
50;Zeewolde;SterkLokaalFlevoland;334
50;Zeewolde;JA21;525
50;Zeewolde;Belang van Nederland (BVNL);111
50;Zeewolde;BBB;2794
59;Achtkarspelen;CDA;1600
59;Achtkarspelen;Forum voor Democratie;868
59;Achtkarspelen;Partij van de Arbeid (P.v.d.A.);978
59;Achtkarspelen;VVD;550
59;Achtkarspelen;FNP;1437
59;Achtkarspelen;GROENLINKS;467
59;Achtkarspelen;ChristenUnie;1448
