GemeenteCode;GemeenteNaam;PartijNaam;AantalStemmen
14;Groningen;50PLUS;794
14;Groningen;BBB;588
14;Groningen;BIJ1;1702
14;Groningen;CDA;8155
14;Groningen;CODE ORANJE;419
14;Groningen;ChristenUnie;5762
14;Groningen;D66;33442
14;Groningen;DE FEESTPARTIJ (DFP);62
14;Groningen;DENK;719
14;Groningen;Forum voor Democratie;5401
14;Groningen;GROENLINKS;15278
14;Groningen;JA21;2200
14;Groningen;JEZUS LEEFT;56
14;Groningen;JONG;283
14;Groningen;LP (Libertaire Partij);111
14;Groningen;Lijst Henk Krol;100
14;Groningen;NIDA;214
14;Groningen;NLBeter;132
14;Groningen;OPRECHT;65
14;Groningen;PVV (Partij voor de Vrijheid);8254
14;Groningen;Partij van de Arbeid (P.v.d.A.);12164
14;Groningen;Partij voor de Dieren;8744
14;Groningen;Piratenpartij;579
14;Groningen;SP (Socialistische Partij);11076
14;Groningen;Splinter;531
14;Groningen;Staatkundig Gereformeerde Partij (SGP);668
14;Groningen;Trots op Nederland (TROTS);194
14;Groningen;U-Buntu Connected Front;38
14;Groningen;VVD;19897
14;Groningen;Volt;8042
14;Groningen;Vrij en Sociaal Nederland;44
34;Almere;50PLUS;1579
34;Almere;BBB;284
34;Almere;BIJ1;3658
34;Almere;CDA;5130
34;Almere;CODE ORANJE;574
34;Almere;ChristenUnie;2474
34;Almere;D66;15672
34;Almere;DENK;3740
34;Almere;Forum voor Democratie;7035
34;Almere;GROENLINKS;6086
34;Almere;JA21;2766
34;Almere;JEZUS LEEFT;102
34;Almere;JONG;237
34;Almere;LP (Libertaire Partij);74
34;Almere;Lijst Henk Krol;132
34;Almere;NIDA;873
34;Almere;NLBeter;131
34;Almere;OPRECHT;80
34;Almere;PVV (Partij voor de Vrijheid);13011
34;Almere;Partij van de Arbeid (P.v.d.A.);5890
34;Almere;Partij van de Eenheid;42
34;Almere;Partij voor de Dieren;4831
34;Almere;Piratenpartij;432
34;Almere;SP (Socialistische Partij);6899
34;Almere;Splinter;426
34;Almere;Staatkundig Gereformeerde Partij (SGP);354
34;Almere;U-Buntu Connected Front;101
34;Almere;VVD;23803
34;Almere;Volt;2249
37;Stadskanaal;50PLUS;199
37;Stadskanaal;BBB;368
37;Stadskanaal;BIJ1;22
37;Stadskanaal;CDA;2509
37;Stadskanaal;CODE ORANJE;52
37;Stadskanaal;ChristenUnie;1752
37;Stadskanaal;D66;1332
37;Stadskanaal;DE FEESTPARTIJ (DFP);15
37;Stadskanaal;DENK;16
37;Stadskanaal;Forum voor Democratie;1410
37;Stadskanaal;GROENLINKS;389
37;Stadskanaal;JA21;260
37;Stadskanaal;JEZUS LEEFT;12
37;Stadskanaal;JONG;14
37;Stadskanaal;LP (Libertaire Partij);0
37;Stadskanaal;Lijst Henk Krol;16
37;Stadskanaal;NIDA;1
37;Stadskanaal;NLBeter;11
37;Stadskanaal;OPRECHT;61
37;Stadskanaal;PVV (Partij voor de Vrijheid);2933
37;Stadskanaal;Partij van de Arbeid (P.v.d.A.);1579
37;Stadskanaal;Partij voor de Dieren;393
37;Stadskanaal;Piratenpartij;31
37;Stadskanaal;SP (Socialistische Partij);2013
37;Stadskanaal;Splinter;27
37;Stadskanaal;Staatkundig Gereformeerde Partij (SGP);322
37;Stadskanaal;Trots op Nederland (TROTS);59
37;Stadskanaal;U-Buntu Connected Front;0
37;Stadskanaal;VVD;2689
37;Stadskanaal;Volt;130
37;Stadskanaal;Vrij en Sociaal Nederland;8
47;Veendam;50PLUS;214
47;Veendam;BBB;228
47;Veendam;BIJ1;27
47;Veendam;CDA;1237
47;Veendam;CODE ORANJE;81
47;Veendam;ChristenUnie;489
47;Veendam;D66;1692
47;Veendam;DE FEESTPARTIJ (DFP);14
47;Veendam;DENK;250
47;Veendam;Forum voor Democratie;1246
